service,cpu,mem
main,973.2034542080386,219.859375
cart,171.1237533369027,44.49609375
productcatalogservice,123.2599578241911,19.4921875
currencyservice,85.23609192031566,21.1328125
adservice,71.19954811086096,33.4890625
checkoutservice,61.53931493094378,23.050390625000002
shippingservice,48.06616229745212,19.96875
emailservice,14.158518012694532,22.4921875
paymentservice,8.739169324826861,19.32421875
recommendationservice,35.74318123260926,18.366796875
